x,p,U:0,U:1,U:2,T,U_0:0,U_0:1,U_0:2,rho,rho_0,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,616.41,17.142,-0.29393,125.16,208.63,17.115,-0.29452,125.13,0.014195,0.014195,1,0.00013472,0.0027939,-1.00E-05,0.0035356
0.00586,617.09,17.303,-0.29512,125.12,208.7,17.276,-0.29572,125.1,0.014206,0.014207,1,0.00014058,0.0027881,-1.00E-05,0.0035356
0.01171,617.78,17.463,-0.29632,125.09,208.76,17.437,-0.29693,125.06,0.014218,0.014218,1,0.00014643,0.0027822,-1.00E-05,0.0035356
0.01757,618.47,17.624,-0.29753,125.05,208.82,17.598,-0.29814,125.03,0.01423,0.01423,1,0.00015229,0.0027764,-1.00E-05,0.0035356
0.02343,619.16,17.785,-0.29874,125.02,208.88,17.759,-0.29936,124.99,0.014241,0.014242,1,0.00015815,0.0027705,-1.00E-05,0.0035356
0.02929,619.85,17.946,-0.29996,124.98,208.94,17.92,-0.30059,124.96,0.014253,0.014253,1,0.00016401,0.0027647,-1.00E-05,0.0035356
0.03514,620.54,18.107,-0.30118,124.95,209,18.08,-0.30182,124.92,0.014264,0.014265,1,0.00016986,0.0027588,-1.00E-05,0.0035356
0.041,621.22,18.268,-0.30241,124.91,209.06,18.241,-0.30305,124.89,0.014276,0.014276,1,0.00017572,0.0027529,-1.00E-05,0.0035356
0.04686,621.91,18.429,-0.30364,124.88,209.13,18.402,-0.3043,124.85,0.014288,0.014288,1,0.00018158,0.0027471,-1.00E-05,0.0035356
0.05271,622.68,18.607,-0.30479,124.83,209.19,18.58,-0.30545,124.81,0.014301,0.014301,1,0.00018743,0.0027412,-1.00E-05,0.0035356
0.05857,623.95,18.891,-0.30535,124.7,209.3,18.864,-0.30604,124.68,0.014322,0.014322,1,0.00019329,0.0027354,-1.00E-05,0.0035356
0.06443,625.22,19.175,-0.30591,124.57,209.42,19.148,-0.30664,124.55,0.014344,0.014344,1,0.00019915,0.0027295,-1.00E-05,0.0035356
0.07029,626.49,19.458,-0.30648,124.44,209.53,19.431,-0.30724,124.42,0.014365,0.014365,1,0.00020501,0.0027237,-1.00E-05,0.0035356
0.07614,627.76,19.742,-0.30705,124.31,209.64,19.715,-0.30785,124.28,0.014387,0.014387,1,0.00021086,0.0027178,-1.00E-05,0.0035356
0.082,629.03,20.026,-0.30763,124.18,209.75,19.999,-0.30846,124.15,0.014408,0.014408,1,0.00021672,0.0027119,-1.00E-05,0.0035356
0.08786,630.3,20.309,-0.30822,124.05,209.86,20.282,-0.30908,124.02,0.01443,0.01443,1,0.00022258,0.0027061,-1.00E-05,0.0035356
0.09372,631.57,20.593,-0.30881,123.92,209.97,20.566,-0.30971,123.89,0.014451,0.014451,1,0.00022844,0.0027002,-1.00E-05,0.0035356
0.09957,632.84,20.877,-0.30941,123.79,210.08,20.85,-0.31034,123.76,0.014472,0.014473,1,0.00023429,0.0026944,-1.00E-05,0.0035356
0.10543,634.11,21.16,-0.31002,123.66,210.19,21.133,-0.31098,123.63,0.014494,0.014494,1,0.00024015,0.0026885,-1.00E-05,0.0035356
0.11129,635.32,21.427,-0.30937,123.5,210.3,21.4,-0.31038,123.47,0.014514,0.014514,1,0.00024601,0.0026827,-1.00E-05,0.0035356
0.11715,636.46,21.668,-0.30695,123.3,210.41,21.642,-0.30802,123.27,0.014533,0.014533,1,0.00025187,0.0026768,-1.00E-05,0.0035356
0.123,637.6,21.91,-0.30453,123.1,210.52,21.884,-0.30567,123.07,0.014551,0.014551,1,0.00025772,0.0026709,-1.00E-05,0.0035356
0.12886,638.74,22.152,-0.30211,122.9,210.63,22.126,-0.30331,122.87,0.01457,0.01457,1,0.00026358,0.0026651,-1.00E-05,0.0035356
0.13472,639.88,22.394,-0.2997,122.7,210.74,22.368,-0.30096,122.67,0.014588,0.014588,1,0.00026944,0.0026592,-1.00E-05,0.0035356
0.14057,641.02,22.636,-0.29728,122.5,210.85,22.61,-0.29861,122.47,0.014606,0.014607,1,0.00027529,0.0026534,-1.00E-05,0.0035356
0.14643,642.16,22.878,-0.29487,122.3,210.95,22.852,-0.29626,122.27,0.014625,0.014625,1,0.00028115,0.0026475,-1.00E-05,0.0035356
0.15229,643.3,23.12,-0.29246,122.1,211.06,23.094,-0.29391,122.07,0.014643,0.014644,1,0.00028701,0.0026417,-1.00E-05,0.0035356
0.15815,644.44,23.362,-0.29005,121.9,211.17,23.336,-0.29157,121.87,0.014662,0.014662,1,0.00029287,0.0026358,-1.00E-05,0.0035356
0.164,645.58,23.603,-0.28765,121.69,211.28,23.579,-0.28923,121.67,0.01468,0.014681,1,0.00029872,0.0026299,-1.00E-05,0.0035356
0.16986,646.68,23.839,-0.28261,121.49,211.4,23.814,-0.28426,121.46,0.014697,0.014697,1,0.00030458,0.0026241,-1.00E-05,0.0035356
0.17572,647.75,24.072,-0.27638,121.27,211.52,24.048,-0.27811,121.25,0.014713,0.014713,1,0.00031044,0.0026182,-1.00E-05,0.0035356
0.18158,648.83,24.305,-0.27016,121.06,211.65,24.281,-0.27195,121.04,0.014728,0.014729,1,0.0003163,0.0026124,-1.00E-05,0.0035356
