arc_length,rho
0.00013472,0.014195
0.00014058,0.014206
0.00014643,0.014218
0.00015229,0.01423
0.00015815,0.014241
0.00016401,0.014253
0.00016986,0.014264
0.00017572,0.014276
0.00018158,0.014288
0.00018743,0.014301
0.00019329,0.014322
0.00019915,0.014344
0.00020501,0.014365
0.00021086,0.014387
0.00021672,0.014408
0.00022258,0.01443
0.00022844,0.014451
0.00023429,0.014472
0.00024015,0.014494
0.00024601,0.014514
0.00025187,0.014533
0.00025772,0.014551
0.00026358,0.01457
0.00026944,0.014588
0.00027529,0.014606
0.00028115,0.014625
0.00028701,0.014643
0.00029287,0.014662
0.00029872,0.01468
0.00030458,0.014697
0.00031044,0.014713
0.0003163,0.014728
0.00032215,0.014744
0.00032801,0.01476
0.00033387,0.014775
0.00033973,0.014791
0.00034558,0.014807
0.00035144,0.014823
0.0003573,0.014838
0.00036315,0.014851
0.00036901,0.014864
0.00037487,0.014876
0.00038073,0.014889
0.00038658,0.014901
0.00039244,0.014914
0.0003983,0.014927
0.00040416,0.014939
0.00041001,0.014952
0.00041587,0.014964
0.00042173,0.014973
0.00042759,0.014983
0.00043344,0.014992
0.0004393,0.015002
0.00044516,0.015011
0.00045101,0.015021
0.00045687,0.01503
0.00046273,0.01504
0.00046859,0.01505
0.00047444,0.015058
0.0004803,0.015065
0.00048616,0.015072
0.00049202,0.015079
0.00049787,0.015087
0.00050373,0.015094
0.00050959,0.015101
0.00051545,0.015108
0.0005213,0.015115
0.00052716,0.015122
0.00053302,0.015129
0.00053887,0.015134
0.00054473,0.01514
0.00055059,0.015146
0.00055645,0.015152
0.0005623,0.015158
0.00056816,0.015164
0.00057402,0.01517
0.00057988,0.015176
0.00058573,0.015182
0.00059159,0.015189
0.00059745,0.015195
0.00060331,0.015202
0.00060916,0.015208
0.00061502,0.015214
0.00062088,0.015221
0.00062673,0.015227
0.00063259,0.015234
0.00063845,0.01524
0.00064431,0.015247
0.00065016,0.015255
0.00065602,0.015264
0.00066188,0.015272
0.00066774,0.01528
0.00067359,0.015289
0.00067945,0.015297
0.00068531,0.015305
0.00069117,0.015314
0.00069702,0.015322
0.00070288,0.015332
0.00070874,0.015343
0.00071459,0.015354
0.00072045,0.015365
0.00072631,0.015376
0.00073217,0.015387
0.00073802,0.015398
0.00074388,0.015409
0.00074974,0.01542
0.0007556,0.015431
0.00076145,0.015445
0.00076731,0.015459
0.00077317,0.015474
0.00077903,0.015488
0.00078488,0.015502
0.00079074,0.015516
0.0007966,0.01553
0.00080245,0.015544
0.00080831,0.015559
0.00081417,0.015573
0.00082003,0.015591
0.00082588,0.015609
0.00083174,0.015626
0.0008376,0.015644
0.00084346,0.015662
0.00084931,0.015679
0.00085517,0.015697
0.00086103,0.015715
0.00086689,0.015732
0.00087274,0.015752
0.0008786,0.015775
0.00088446,0.015798
0.00089031,0.015821
0.00089617,0.015844
0.00090203,0.015867
0.00090789,0.01589
0.00091374,0.015913
0.0009196,0.015936
0.00092546,0.015959
0.00093132,0.015994
0.00093717,0.016035
0.00094303,0.016075
0.00094889,0.016116
0.00095475,0.016157
0.0009606,0.016198
0.00096646,0.016238
0.00097232,0.016279
0.00097817,0.01632
0.00098403,0.016361
0.00098989,0.016451
0.00099575,0.016545
0.0010016,0.016639
0.0010075,0.016733
0.0010133,0.016827
0.0010192,0.016921
0.001025,0.017015
0.0010309,0.017108
0.0010367,0.017202
0.0010426,0.017321
0.0010485,0.017532
0.0010543,0.017744
0.0010602,0.017956
0.001066,0.018167
0.0010719,0.018379
0.0010777,0.018591
0.0010836,0.018802
0.0010895,0.019014
0.0010953,0.019226
0.0011012,0.019534
0.001107,0.019949
0.0011129,0.020364
0.0011188,0.02078
0.0011246,0.021195
0.0011305,0.021611
0.0011363,0.022026
0.0011422,0.022441
0.001148,0.022857
0.0011539,0.023272
0.0011598,0.023868
0.0011656,0.024527
0.0011715,0.025186
0.0011773,0.025845
0.0011832,0.026504
0.001189,0.027163
0.0011949,0.027823
0.0012008,0.028482
0.0012066,0.029141
0.0012125,0.0298
0.0012183,0.030537
0.0012242,0.031273
0.00123,0.03201
0.0012359,0.032746
0.0012418,0.033482
0.0012476,0.034219
0.0012535,0.034955
0.0012593,0.035692
0.0012652,0.036428
0.001271,0.037095
0.0012769,0.037568
0.0012828,0.038041
0.0012886,0.038514
0.0012945,0.038987
0.0013003,0.03946
0.0013062,0.039933
0.001312,0.040406
0.0013179,0.040879
0.0013238,0.041352
0.0013296,0.041625
0.0013355,0.041717
0.0013413,0.041809
0.0013472,0.041901
0.001353,0.041993
0.0013589,0.042084
0.0013648,0.042176
0.0013706,0.042268
0.0013765,0.04236
0.0013823,0.042452
0.0013882,0.042381
0.001394,0.042265
0.0013999,0.042149
0.0014058,0.042033
0.0014116,0.041918
0.0014175,0.041802
0.0014233,0.041686
0.0014292,0.041571
0.001435,0.041455
0.0014409,0.041342
0.0014468,0.041283
0.0014526,0.041223
0.0014585,0.041165
0.0014643,0.041106
0.0014702,0.041047
0.001476,0.040988
0.0014819,0.04093
0.0014878,0.040872
0.0014936,0.040813
0.0014995,0.040842
0.0015053,0.041075
0.0015112,0.041309
0.001517,0.041543
0.0015229,0.041777
0.0015288,0.04201
0.0015346,0.042244
0.0015405,0.042478
0.0015463,0.042712
0.0015522,0.042946
0.0015581,0.043205
0.0015639,0.043483
0.0015698,0.043761
0.0015756,0.044039
0.0015815,0.044317
0.0015873,0.044594
0.0015932,0.044872
0.0015991,0.045149
0.0016049,0.045427
0.0016108,0.045704
0.0016166,0.045776
0.0016225,0.045796
0.0016283,0.045815
0.0016342,0.045835
0.0016401,0.045854
0.0016459,0.045873
0.0016518,0.045892
0.0016576,0.04591
0.0016635,0.045928
0.0016693,0.045939
0.0016752,0.045819
0.0016811,0.045697
0.0016869,0.045576
0.0016928,0.045455
0.0016986,0.045333
0.0017045,0.045211
0.0017103,0.045089
0.0017162,0.044967
0.0017221,0.044844
0.0017279,0.044681
0.0017338,0.044421
0.0017396,0.04416
0.0017455,0.0439
0.0017513,0.043639
0.0017572,0.043379
