"p","U:0","U:1","U:2","T","U_0:0","U_0:1","U_0:2","alphat","epsilon","epsilon_0","k","k_0","nut","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0,0.0029287,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,5.8573e-006,0.0029228,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,1.1715e-005,0.002917,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,1.7572e-005,0.0029111,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,2.3429e-005,0.0029052,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,2.9287e-005,0.0028994,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,3.5144e-005,0.0028935,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,4.1001e-005,0.0028877,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,4.6859e-005,0.0028818,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,5.2716e-005,0.0028759,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,5.8573e-005,0.0028701,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,6.4431e-005,0.0028642,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,7.0288e-005,0.0028584,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,7.6145e-005,0.0028525,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,8.2003e-005,0.0028467,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,8.786e-005,0.0028408,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,9.3717e-005,0.0028349,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,9.9575e-005,0.0028291,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0.00010543,0.0028232,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0.00011129,0.0028174,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0.00011715,0.0028115,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0.000123,0.0028057,-1e-005,0.0035356
1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,1.#QNB,0,0.00012886,0.0027998,-1e-005,0.0035356
590.87,29.693,0.040317,149.66,205.7,29.674,0.040844,149.66,1.5749e-007,7.6851e+005,7.6873e+005,9.8734,9.8754,1.1423e-005,0.013801,0.013801,1,0.00013472,0.0027939,-1e-005,0.0035356
591.5,29.844,0.038662,149.62,205.74,29.825,0.039192,149.61,1.6108e-007,7.8244e+005,7.8266e+005,10.069,10.071,1.1669e-005,0.013813,0.013813,1,0.00014058,0.0027881,-1e-005,0.0035356
