arc_length,rho
0.00013472,0.013801
0.00014058,0.013813
0.00014643,0.013825
0.00015229,0.013837
0.00015815,0.013849
0.00016401,0.013861
0.00016986,0.013873
0.00017572,0.013885
0.00018158,0.013897
0.00018743,0.01391
0.00019329,0.013932
0.00019915,0.013955
0.00020501,0.013977
0.00021086,0.013999
0.00021672,0.014021
0.00022258,0.014043
0.00022844,0.014066
0.00023429,0.014088
0.00024015,0.01411
0.00024601,0.014131
0.00025187,0.01415
0.00025772,0.01417
0.00026358,0.014189
0.00026944,0.014208
0.00027529,0.014227
0.00028115,0.014247
0.00028701,0.014266
0.00029287,0.014285
0.00029872,0.014305
0.00030458,0.014323
0.00031044,0.01434
0.0003163,0.014357
0.00032215,0.014375
0.00032801,0.014392
0.00033387,0.014409
0.00033973,0.014427
0.00034558,0.014444
0.00035144,0.014461
0.0003573,0.014479
0.00036315,0.014495
0.00036901,0.014511
0.00037487,0.014527
0.00038073,0.014543
0.00038658,0.01456
0.00039244,0.014576
0.0003983,0.014592
0.00040416,0.014608
0.00041001,0.014624
0.00041587,0.01464
0.00042173,0.014656
0.00042759,0.014671
0.00043344,0.014686
0.0004393,0.014702
0.00044516,0.014717
0.00045101,0.014733
0.00045687,0.014748
0.00046273,0.014764
0.00046859,0.014779
0.00047444,0.014795
0.0004803,0.01481
0.00048616,0.014826
0.00049202,0.014841
0.00049787,0.014857
0.00050373,0.014872
0.00050959,0.014887
0.00051545,0.014903
0.0005213,0.014918
0.00052716,0.014934
0.00053302,0.01495
0.00053887,0.014966
0.00054473,0.014982
0.00055059,0.014998
0.00055645,0.015014
0.0005623,0.015031
0.00056816,0.015047
0.00057402,0.015063
0.00057988,0.015079
0.00058573,0.015095
0.00059159,0.015113
0.00059745,0.015131
0.00060331,0.015149
0.00060916,0.015166
0.00061502,0.015184
0.00062088,0.015202
0.00062673,0.01522
0.00063259,0.015237
0.00063845,0.015255
0.00064431,0.015274
0.00065016,0.015295
0.00065602,0.015315
0.00066188,0.015336
0.00066774,0.015357
0.00067359,0.015377
0.00067945,0.015398
0.00068531,0.015419
0.00069117,0.015439
0.00069702,0.01546
0.00070288,0.015484
0.00070874,0.015511
0.00071459,0.015537
0.00072045,0.015564
0.00072631,0.01559
0.00073217,0.015617
0.00073802,0.015643
0.00074388,0.01567
0.00074974,0.015696
0.0007556,0.015723
0.00076145,0.015757
0.00076731,0.015794
0.00077317,0.01583
0.00077903,0.015866
0.00078488,0.015902
0.00079074,0.015938
0.0007966,0.015974
0.00080245,0.01601
0.00080831,0.016046
0.00081417,0.016084
0.00082003,0.016134
0.00082588,0.016184
0.00083174,0.016234
0.0008376,0.016284
0.00084346,0.016333
0.00084931,0.016383
0.00085517,0.016433
0.00086103,0.016483
0.00086689,0.016533
0.00087274,0.01659
0.0008786,0.016659
0.00088446,0.016729
0.00089031,0.016798
0.00089617,0.016867
0.00090203,0.016936
0.00090789,0.017006
0.00091374,0.017075
0.0009196,0.017144
0.00092546,0.017213
0.00093132,0.017302
0.00093717,0.0174
0.00094303,0.017499
0.00094889,0.017597
0.00095475,0.017695
0.0009606,0.017793
0.00096646,0.017892
0.00097232,0.01799
0.00097817,0.018088
0.00098403,0.018186
0.00098989,0.018329
0.00099575,0.018474
0.0010016,0.01862
0.0010075,0.018765
0.0010133,0.018911
0.0010192,0.019056
0.001025,0.019202
0.0010309,0.019347
0.0010367,0.019492
0.0010426,0.019655
0.0010485,0.019882
0.0010543,0.02011
0.0010602,0.020337
0.001066,0.020565
0.0010719,0.020792
0.0010777,0.02102
0.0010836,0.021247
0.0010895,0.021475
0.0010953,0.021702
0.0011012,0.021994
0.001107,0.022358
0.0011129,0.022722
0.0011188,0.023085
0.0011246,0.023449
0.0011305,0.023813
0.0011363,0.024176
0.0011422,0.02454
0.001148,0.024904
0.0011539,0.025267
0.0011598,0.025757
0.0011656,0.026291
0.0011715,0.026825
0.0011773,0.027359
0.0011832,0.027893
0.001189,0.028427
0.0011949,0.028962
0.0012008,0.029496
0.0012066,0.03003
0.0012125,0.030564
0.0012183,0.031193
0.0012242,0.031823
0.00123,0.032452
0.0012359,0.033082
0.0012418,0.033711
0.0012476,0.03434
0.0012535,0.03497
0.0012593,0.035599
0.0012652,0.036228
0.001271,0.03683
0.0012769,0.037355
0.0012828,0.037879
0.0012886,0.038404
0.0012945,0.038928
0.0013003,0.039453
0.0013062,0.039978
0.001312,0.040502
0.0013179,0.041027
0.0013238,0.041551
0.0013296,0.04195
0.0013355,0.042235
0.0013413,0.04252
0.0013472,0.042805
0.001353,0.04309
0.0013589,0.043375
0.0013648,0.04366
0.0013706,0.043945
0.0013765,0.04423
0.0013823,0.044515
0.0013882,0.044677
0.001394,0.044805
0.0013999,0.044933
0.0014058,0.045061
0.0014116,0.045189
0.0014175,0.045317
0.0014233,0.045445
0.0014292,0.045573
0.001435,0.045701
0.0014409,0.045831
0.0014468,0.04601
0.0014526,0.046189
0.0014585,0.046368
0.0014643,0.046547
0.0014702,0.046726
0.001476,0.046905
0.0014819,0.047084
0.0014878,0.047263
0.0014936,0.047442
0.0014995,0.047639
0.0015053,0.047879
0.0015112,0.048119
0.001517,0.04836
0.0015229,0.0486
0.0015288,0.04884
0.0015346,0.04908
0.0015405,0.04932
0.0015463,0.04956
0.0015522,0.0498
0.0015581,0.049917
0.0015639,0.049932
0.0015698,0.049947
0.0015756,0.049963
0.0015815,0.049978
0.0015873,0.049992
0.0015932,0.050007
0.0015991,0.050022
0.0016049,0.050036
0.0016108,0.050051
0.0016166,0.049849
0.0016225,0.049594
0.0016283,0.049339
0.0016342,0.049083
0.0016401,0.048827
0.0016459,0.048572
0.0016518,0.048316
0.0016576,0.04806
0.0016635,0.047804
0.0016693,0.047546
0.0016752,0.047233
0.0016811,0.04692
0.0016869,0.046607
0.0016928,0.046294
0.0016986,0.045981
0.0017045,0.045668
0.0017103,0.045355
0.0017162,0.045042
0.0017221,0.044729
0.0017279,0.044396
0.0017338,0.044014
0.0017396,0.043633
0.0017455,0.043251
0.0017513,0.04287
0.0017572,0.042488
0.0017631,0.042106
0.0017689,0.041725
0.0017748,0.041343
0.0017806,0.040961
0.0017865,0.040548
0.0017923,0.040108
0.0017982,0.039667
0.0018041,0.039227
0.0018099,0.038787
0.0018158,0.038346
0.0018216,0.037906
0.0018275,0.037466
0.0018333,0.037026
0.0018392,0.036586
0.0018451,0.036239
0.0018509,0.035921
0.0018568,0.035603
0.0018626,0.035286
0.0018685,0.034968
0.0018743,0.034651
0.0018802,0.034333
0.0018861,0.034016
0.0018919,0.033777
