"T","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","p","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.0030595,-1e-05,0.0054156
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2315e-06,-0.0030529,-1e-05,0.0054126
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.4463e-05,-0.0030464,-1e-05,0.0054095
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.1695e-05,-0.0030398,-1e-05,0.0054065
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.8926e-05,-0.0030333,-1e-05,0.0054034
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6158e-05,-0.0030267,-1e-05,0.0054003
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.3389e-05,-0.0030202,-1e-05,0.0053973
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.0621e-05,-0.0030136,-1e-05,0.0053942
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.7853e-05,-0.0030071,-1e-05,0.0053912
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.5084e-05,-0.0030005,-1e-05,0.0053881
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.2316e-05,-0.002994,-1e-05,0.005385
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.9548e-05,-0.0029874,-1e-05,0.005382
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.6779e-05,-0.0029809,-1e-05,0.0053789
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,9.4011e-05,-0.0029743,-1e-05,0.0053758
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00010124,-0.0029677,-1e-05,0.0053728
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00010847,-0.0029612,-1e-05,0.0053697
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00011571,-0.0029546,-1e-05,0.0053667
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00012294,-0.0029481,-1e-05,0.0053636
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00013017,-0.0029415,-1e-05,0.0053605
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0001374,-0.002935,-1e-05,0.0053575
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00014463,-0.0029284,-1e-05,0.0053544
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015186,-0.0029219,-1e-05,0.0053514
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015909,-0.0029153,-1e-05,0.0053483
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00016633,-0.0029088,-1e-05,0.0053452
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00017356,-0.0029022,-1e-05,0.0053422
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00018079,-0.0028957,-1e-05,0.0053391
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00018802,-0.0028891,-1e-05,0.0053361
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00019525,-0.0028826,-1e-05,0.005333
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00020248,-0.002876,-1e-05,0.0053299
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00020972,-0.0028695,-1e-05,0.0053269
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00021695,-0.0028629,-1e-05,0.0053238
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022418,-0.0028564,-1e-05,0.0053208
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00023141,-0.0028498,-1e-05,0.0053177
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00023864,-0.0028433,-1e-05,0.0053146
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00024587,-0.0028367,-1e-05,0.0053116
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00025311,-0.0028302,-1e-05,0.0053085
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00026034,-0.0028236,-1e-05,0.0053054
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00026757,-0.0028171,-1e-05,0.0053024
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0002748,-0.0028105,-1e-05,0.0052993
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00028203,-0.002804,-1e-05,0.0052963
272.55,24.407,0.060315,1.4586,24.395,0.060284,1.4531,1242.3,0.021901,0.021901,1,0.00028926,-0.0027974,-1e-05,0.0052932
272.54,24.458,0.060495,1.4539,24.446,0.060464,1.4484,1242.1,0.021898,0.021898,1,0.0002965,-0.0027908,-1e-05,0.0052901
272.53,24.509,0.060676,1.4492,24.497,0.060646,1.4438,1241.9,0.021894,0.021895,1,0.00030373,-0.0027843,-1e-05,0.0052871
272.52,24.56,0.060859,1.4445,24.548,0.060829,1.4391,1241.7,0.021891,0.021892,1,0.00031096,-0.0027777,-1e-05,0.005284
272.51,24.611,0.061043,1.4398,24.599,0.061013,1.4344,1241.4,0.021888,0.021888,1,0.00031819,-0.0027712,-1e-05,0.005281
272.5,24.662,0.061228,1.4351,24.65,0.0612,1.4297,1241.2,0.021885,0.021885,1,0.00032542,-0.0027646,-1e-05,0.0052779
272.49,24.713,0.061416,1.4304,24.701,0.061387,1.425,1241,0.021881,0.021882,1,0.00033265,-0.0027581,-1e-05,0.0052748
272.48,24.764,0.061604,1.4257,24.752,0.061576,1.4203,1240.7,0.021878,0.021879,1,0.00033988,-0.0027515,-1e-05,0.0052718
272.47,24.815,0.061795,1.421,24.803,0.061767,1.4156,1240.5,0.021875,0.021876,1,0.00034712,-0.002745,-1e-05,0.0052687
272.45,24.883,0.062004,1.4208,24.871,0.061977,1.4155,1240.2,0.02187,0.02187,1,0.00035435,-0.0027384,-1e-05,0.0052657
272.43,24.965,0.062229,1.4244,24.953,0.062202,1.4191,1239.7,0.021863,0.021864,1,0.00036158,-0.0027319,-1e-05,0.0052626
272.42,25.046,0.062455,1.428,25.035,0.062429,1.4227,1239.2,0.021856,0.021857,1,0.00036881,-0.0027253,-1e-05,0.0052595
272.4,25.128,0.062683,1.4315,25.116,0.062657,1.4262,1238.8,0.02185,0.02185,1,0.00037604,-0.0027188,-1e-05,0.0052565
272.38,25.21,0.062911,1.4349,25.198,0.062886,1.4297,1238.3,0.021843,0.021843,1,0.00038327,-0.0027122,-1e-05,0.0052534
272.36,25.292,0.063144,1.4379,25.28,0.063119,1.4327,1237.8,0.021836,0.021836,1,0.00039051,-0.0027057,-1e-05,0.0052504
272.34,25.373,0.063379,1.4405,25.362,0.063355,1.4354,1237.4,0.021829,0.02183,1,0.00039774,-0.0026991,-1e-05,0.0052473
272.33,25.455,0.063617,1.4431,25.443,0.063592,1.438,1236.9,0.021822,0.021823,1,0.00040497,-0.0026926,-1e-05,0.0052442
272.31,25.536,0.063856,1.4457,25.525,0.063831,1.4406,1236.4,0.021816,0.021816,1,0.0004122,-0.002686,-1e-05,0.0052412
272.3,25.607,0.063941,1.4536,25.595,0.063917,1.4485,1236,0.021809,0.02181,1,0.00041943,-0.0026795,-1e-05,0.0052381
272.29,25.675,0.064001,1.4623,25.664,0.063977,1.4572,1235.6,0.021803,0.021804,1,0.00042666,-0.0026729,-1e-05,0.005235
272.28,25.744,0.064061,1.471,25.732,0.064038,1.4659,1235.2,0.021797,0.021797,1,0.0004339,-0.0026664,-1e-05,0.005232
272.27,25.812,0.064121,1.4796,25.801,0.064099,1.4746,1234.8,0.021791,0.021791,1,0.00044113,-0.0026598,-1e-05,0.0052289
272.26,25.881,0.064182,1.4882,25.869,0.06416,1.4831,1234.4,0.021785,0.021785,1,0.00044836,-0.0026533,-1e-05,0.0052259
272.25,25.949,0.064244,1.4967,25.937,0.064222,1.4917,1234.1,0.021778,0.021779,1,0.00045559,-0.0026467,-1e-05,0.0052228
272.24,26.017,0.064306,1.5051,26.006,0.064284,1.5001,1233.7,0.021772,0.021773,1,0.00046282,-0.0026402,-1e-05,0.0052197
272.23,26.085,0.064368,1.5135,26.074,0.064347,1.5085,1233.3,0.021766,0.021767,1,0.00047005,-0.0026336,-1e-05,0.0052167
