"T","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","p","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
119.06,-5.0069,-2.1247,508.22,-5.0564,-2.1034,508.23,16490,0.66513,0.66508,1,0,-3.8191e-05,-1e-05,0.0017475
118.79,-4.8803,-2.0659,508.64,-4.9288,-2.0413,508.65,16398,0.6629,0.66284,1,5.3106e-06,-3.5736e-05,-1e-05,0.0017522
118.51,-4.742,-2.002,509.05,-4.7894,-1.9743,509.07,16303,0.66059,0.66054,1,1.0621e-05,-3.328e-05,-1e-05,0.0017569
118.22,-4.5845,-1.9314,509.46,-4.6307,-1.9008,509.47,16206,0.65824,0.65819,1,1.5932e-05,-3.0825e-05,-1e-05,0.0017616
117.93,-4.4224,-1.86,509.88,-4.4675,-1.8265,509.89,16107,0.65583,0.65578,1,2.1243e-05,-2.837e-05,-1e-05,0.0017663
117.63,-4.2557,-1.7875,510.31,-4.2998,-1.7514,510.31,16006,0.65337,0.65332,1,2.6553e-05,-2.5914e-05,-1e-05,0.001771
117.32,-4.0845,-1.7141,510.74,-4.1276,-1.6755,510.74,15902,0.65086,0.65081,1,3.1864e-05,-2.3459e-05,-1e-05,0.0017757
117.01,-3.9086,-1.6396,511.19,-3.951,-1.5987,511.19,15797,0.64829,0.64824,1,3.7175e-05,-2.1003e-05,-1e-05,0.0017804
116.73,-3.6783,-1.5351,511.57,-3.7195,-1.4928,511.57,15700,0.6459,0.64585,1,4.2485e-05,-1.8548e-05,-1e-05,0.0017851
116.54,-3.2919,-1.3414,511.71,-3.3306,-1.3002,511.71,15632,0.64412,0.64408,1,4.7796e-05,-1.6092e-05,-1e-05,0.0017898
116.37,-2.8876,-1.1359,511.8,-2.9233,-1.0958,511.8,15566,0.64237,0.64233,1,5.3107e-05,-1.3637e-05,-1e-05,0.0017945
116.19,-2.503,-0.933,511.89,-2.5357,-0.89421,511.88,15499,0.64062,0.64058,1,5.8417e-05,-1.1181e-05,-1e-05,0.0017993
116,-2.1381,-0.73282,511.97,-2.1678,-0.69547,511.97,15432,0.63885,0.63882,1,6.3728e-05,-8.7257e-06,-1e-05,0.001804
115.82,-1.7929,-0.53532,512.06,-1.8196,-0.49957,512.05,15364,0.63708,0.63705,1,6.9039e-05,-6.2702e-06,-1e-05,0.0018087
115.64,-1.4673,-0.34052,512.14,-1.491,-0.3065,512.12,15296,0.6353,0.63528,1,7.4349e-05,-3.8148e-06,-1e-05,0.0018134
115.45,-1.1613,-0.1484,512.21,-1.182,-0.11627,512.2,15228,0.63351,0.63349,1,7.966e-05,-1.3593e-06,-1e-05,0.0018181
115.27,-0.87849,0.044304,512.28,-0.89614,0.074102,512.27,15164,0.63185,0.63183,1,8.4971e-05,1.0962e-06,-1e-05,0.0018228
115.12,-0.62562,0.23757,512.34,-0.64008,0.26452,512.33,15107,0.63038,0.63036,1,9.0281e-05,3.5517e-06,-1e-05,0.0018275
114.97,-0.40053,0.42705,512.4,-0.41181,0.45103,512.39,15052,0.62895,0.62893,1,9.5592e-05,6.0071e-06,-1e-05,0.0018322
114.82,-0.20323,0.61274,512.45,-0.21135,0.63363,512.44,14999,0.62756,0.62755,1,0.0001009,8.4626e-06,-1e-05,0.0018369
115.96,0.52081,0.75444,510.48,0.51551,0.77234,510.47,15398,0.63153,0.63152,1,0.00010621,1.0918e-05,-1e-05,0.0018416
122.33,3.5688,0.72186,500.22,3.5649,0.73771,500.2,17628,0.65718,0.65718,1,0.00011152,1.3374e-05,-1e-05,0.0018463
128.54,6.6487,0.68111,490.23,6.6461,0.69501,490.22,19767,0.68195,0.68195,1,0.00011683,1.5829e-05,-1e-05,0.0018511
134.57,9.72,0.62806,480.56,9.7186,0.64001,480.55,21815,0.70594,0.70595,1,0.00012215,1.8285e-05,-1e-05,0.0018558
140.39,12.788,0.55971,471.3,12.788,0.56971,471.29,23762,0.72909,0.7291,1,0.00012746,2.074e-05,-1e-05,0.0018605
